지진ID,구분,구분명,전송시각,진원시,위도 (단위:`N),경도 (단위:`E),규모 (리히터 기준),진앙지,등록일자,깊이 (단위:KM)
2.02E+11,3,국외지진,2.02E+11,2.02E+13,44.9,142.1,5.3,일본 홋카이도 삿포로 북북동쪽 213km 지역,2022-08-11 1:03,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,44.9,142.1,5.1,일본 홋카이도 삿포로 북북동쪽 213km 지역,2022-08-11 0:46,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.14,127.67,3.1,전남 여수시 거문도 남남동쪽 104km 해역,2022-08-03 8:00,8
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.44,125.62,2.6,북한 황해남도 안악 남동쪽 13km 지역,2022-07-31 22:16,
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.39,128.24,2.6,경남 의령군 북북서쪽 8km 지역,2022-07-29 5:41,13
2.02E+11,3,국외지진,2.02E+11,2.02E+13,32.6,142.4,6.1,일본 지바현(혼슈) 지바 남남동쪽 395km 해역,2022-07-29 5:05,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-21.98,-70.47,6.1,칠레 카라마 서북서쪽 168km 해역,2022-07-28 13:45,45
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-22.17,-68.47,6.2,칠레 카라마 북동쪽 57km 지역,2022-07-28 4:21,99
2.02E+11,3,국외지진,2.02E+11,2.02E+13,17.6,120.81,7.1,필리핀 라오그 남남동쪽 70km 지역,2022-07-27 10:01,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.4,5,일본 오키나와현 오키나와 서북서쪽 143km 해역,2022-07-25 23:55,20
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.44,125.63,2.4,북한 황해북도 사리원 서남서쪽 14km 지역,2022-07-23 16:31,
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.45,125.63,2.5,북한 황해북도 사리원 서남서쪽 13km 지역,2022-07-23 6:49,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,40.6,141.4,5.1,일본 아오모리현(혼슈) 아오모리 동남동쪽 60km 지역,2022-07-22 12:09,90
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.8,126.25,2.3,충남 태안군 북서쪽 7km 지역,2022-07-21 18:42,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.79,129.2,2.3,경북 경주시 남남서쪽 8km 지역,2022-07-21 4:51,13
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.29,126.87,2,충남 부여군 서북서쪽 4km 지역,2022-07-20 16:24,17
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.64,128.11,2.1,전남 여수시 거문도 동남동쪽 85km 해역,2022-07-16 13:58,14
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-44.57,-79.75,6.4,칠레  케욘 서남서쪽 517km 해역 ,2022-07-16 5:10,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.13,127.66,2.6,제주 서귀포시 동쪽 103km 해역,2022-07-12 10:42,6
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.11,127.66,2.7,제주 서귀포시 동쪽 104km 해역,2022-07-12 10:13,7
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.12,127.64,2.3,제주 서귀포시 동쪽 102km 해역,2022-07-12 10:00,6
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-18.19,169,6.1,바누아투 포트빌라 남동쪽 87km 해역,2022-07-12 6:36,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.14,127.66,2.2,제주 서귀포시 동쪽 103km 해역,2022-07-12 0:50,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.14,127.65,2.1,제주 서귀포시 동쪽 102km 해역,2022-07-12 0:47,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.9,126.3,5,일본 오키나와현 오키나와 서북서쪽 157km 해역,2022-07-08 9:09,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.5,5.1,일본 오키나와현 오키나와 서북서쪽 134km 해역,2022-07-06 22:17,20
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.31,127.45,2.6,전남 여수시 거문도 남쪽 81km 해역,2022-07-03 7:59,13
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.89,55.29,6.2,이란 반다르아바스 서남서쪽 104km 지역,2022-07-02 8:49,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.94,55.23,6.1,이란 반다르아바스 서남서쪽 108km 지역,2022-07-02 6:54,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,37.02,128.98,2.3,경북 봉화군 동북동쪽 26km 지역,2022-06-30 22:56,6
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.9,129.73,2.1,경북 포항시 남구 동남동쪽 35km 해역,2022-06-30 3:00,18
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.89,129.7,2.3,경북 포항시 남구 동남동쪽 33km 해역,2022-06-29 15:31,21
2.02E+11,3,국외지진,2.02E+11,2.02E+13,21.99,120.2,5.3,대만 카오슝 남쪽 72km 해역,2022-06-28 22:55,41
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.62,121.43,5.1,대만 화롄 남남서쪽 39km 지역,2022-06-25 22:58,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,33.11,69.53,6.1,아프가니스탄 호스트 남서쪽 44km 지역,2022-06-22 6:22,51
2.02E+11,3,국외지진,2.02E+11,2.02E+13,27.7,142.9,6.2,일본 혼슈 요코하마 남남동쪽 915km 해역,2022-06-21 16:30,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,37.5,137.3,5,일본 도야마현(혼슈) 도야마 북쪽 90km 지역,2022-06-20 10:41,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.68,121.47,6,대만 화롄 남남서쪽 31km 지역,2022-06-20 10:16,7
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.4,5.7,일본 오키나와현 오키나와 서북서쪽 143km 해역,2022-06-19 19:04,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,37.5,137.3,5.2,일본 도야마현(혼슈) 도야마 북쪽 90km 지역,2022-06-19 15:20,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,32.25,101.82,6,중국 쓰촨성 청두 북서쪽 285km 지역,2022-06-10 3:00,13
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-9.06,-71.17,6.5,브라질 타라우아카 남남서쪽 108km 지역,2022-06-08 10:30,616
2.02E+11,3,국외지진,2.02E+11,2.02E+13,25.9,123.4,5.2,일본 이시가키섬 북북서쪽 187km 해역,2022-06-07 11:23,190
2.02E+11,3,국외지진,2.02E+11,2.02E+13,52.07,178.28,6.4,알래스카 아닥 서쪽 349km 해역,2022-06-06 0:00,105
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.4,5.9,일본 오키나와현 오키나와 서북서쪽 143km 해역,2022-06-03 16:12,20
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.12,130.98,2.6,경북 울릉군 울릉도 북쪽 71km 해역,2022-06-02 20:53,26
2.02E+11,3,국외지진,2.02E+11,2.02E+13,30.37,102.94,6.1,중국 쓰촨성 야안시 북서쪽 42km 지역,2022-06-01 18:41,17
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-8.27,127.21,6.1,동티모르 로스팔로스 북동쪽 36km 해역,2022-05-27 12:04,51
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-22.81,172.07,6.4,뉴칼레도니아 누메아 동쪽 580km 해역 ,2022-05-27 1:02,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-14.86,-70.31,7.2,페루 줄리아카 북북서쪽 74km 지역,2022-05-26 21:24,218
2.02E+11,3,국외지진,2.02E+11,2.02E+13,33.2,141.5,6.1,일본 지바현(혼슈) 지바 남남동쪽 297km 해역,2022-05-23 0:27,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-26.21,178.39,6.3,피지 수바 남쪽 898km 해역 ,2022-05-22 16:34,590
2.02E+11,3,국외지진,2.02E+11,2.02E+13,13.95,120.68,6.1,필리핀 분가한 동북동쪽 1km 지역 ,2022-05-22 7:22,136
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-53.8,158.9,7.3,뉴질랜드 더니든 남서쪽 1206km 해역,2022-05-19 19:36,29
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.34,127.22,2.3,제주 서귀포시 동쪽 62km 해역,2022-05-13 6:56,21
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-23.61,-66.72,6.8,아르헨티나 산안토니오 데로스 코브레스  북북서쪽 78km 지역 ,2022-05-11 9:32,194
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-3.37,146.35,6.3,파푸아뉴기니 로렝가우 남서쪽 179km 해역,2022-05-10 7:59,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,34.6,136.9,5.1,일본 미에현(혼슈) 쓰 동남동쪽 38km 해역,2022-05-09 17:44,340
2.02E+11,3,국외지진,2.02E+11,2.02E+13,24.04,122.5,6.1,대만 화롄 동쪽 97km 해역,2022-05-09 15:37,28
2.02E+11,3,국외지진,2.02E+11,2.02E+13,27,126.4,5.7,일본 오키나와현 오키나와 북서쪽 155km 해역,2022-05-07 21:03,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.5,5.4,일본 오키나와현 오키나와 서북서쪽 134km 해역,2022-05-06 22:31,20
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.98,127.29,2.3,북한 강원 원산 남남서쪽 24km 지역,2022-04-30 9:42,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-3.95,146.66,6,파푸아뉴기니 마당 북동쪽 170km 해역,2022-04-28 22:50,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,11.5,-87,6.8,니카라과 레온 남쪽 105km 해역,2022-04-21 17:03,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,6.98,126.95,6,필리핀 마티 동쪽 80km 해역,2022-04-21 7:23,51
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.85,125.78,2.3,북한 황해북도 송림 북동쪽 18km 지역,2022-04-21 2:57,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,7.12,126.78,6.2,필리핀 마티 동북동쪽 65km 해역,2022-04-19 10:56,39
2.02E+11,3,국외지진,2.02E+11,2.02E+13,36.9,140.4,5.3,일본 이바라키현(혼슈) 미토 북쪽 60km 지역,2022-04-19 8:25,90
2.02E+11,1,지진정보,2.02E+11,2.02E+13,37.26,126.1,2.3,인천 옹진군 서남서쪽 52km 지역,2022-04-18 14:27,11
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.22,128.6,2.3,경남 창원시 마산회원구 동쪽 2km 지역,2022-04-17 23:37,9
2.02E+11,1,지진정보,2.02E+11,2.02E+13,34.75,127.26,2.6,전남 고흥군 북쪽 16km 지역,2022-04-16 2:13,18
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.5,5,일본 오키나와현 오키나와 서북서쪽 134km 해역,2022-04-14 9:41,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.4,5.7,일본 오키나와현 오키나와 서북서쪽 143km 해역,2022-04-13 10:35,20
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.82,129.47,2.4,경북 울진군 남남동쪽 20km 해역,2022-04-12 15:02,14
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-16.32,166.85,6.2,바누아투 포트빌라 북서쪽 222km 해역,2022-04-10 6:18,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.45,129.62,3.4,경북 영덕군 동쪽 23km 해역,2022-04-10 2:50,18
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.54,128.08,2.2,경북 상주시 북북서쪽 16km 지역,2022-04-09 11:00,19
2.02E+11,3,국외지진,2.02E+11,2.02E+13,37.8,141.6,5.4,일본 미야기현(혼슈) 센다이 남동쪽 83km 해역,2022-04-06 0:15,50
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-17.48,167.87,6,바누아투 포트빌라 서북서쪽 55km 해역 ,2022-04-05 1:32,33
2.02E+11,3,국외지진,2.02E+11,2.02E+13,37.3,141.6,5.1,일본 후쿠시마현(혼슈) 후쿠시마 동남동쪽 112km 해역,2022-04-04 19:39,40
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.69,129.35,2,경북 경주시 남남동쪽 22km 지역,2022-04-03 14:24,11
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-22.73,170.65,6.3,뉴칼레도니아 누메아 동쪽 435km 해역 ,2022-04-01 5:16,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-22.7,170.3,7.2, 뉴칼레도니아 누메아 동쪽 399km 해역 ,2022-03-31 15:06,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-22.72,170.28,6.7,뉴칼레도니아 누메아 동쪽 397km 해역 ,2022-03-31 6:22,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.9,126.4,5.5,일본 오키나와현 오키나와 서북서쪽 149km 해역,2022-03-30 2:47,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,42.3,143.1,5.1,일본 홋카이도 구시로 남서쪽 129km 지역,2022-03-27 8:26,60
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.2,5.6,일본 오키나와현 오키나와 서북서쪽 161km 해역,2022-03-27 1:09,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,38.5,97.33,6,중국 칭하이 하이시 북쪽 125km 지역,2022-03-26 1:58,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.44,121.46,5.3,대만 화롄 남쪽 58km 지역,2022-03-24 9:49,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.9,126.2,5.1,일본 오키나와현 오키나와 서북서쪽 166km 해역,2022-03-24 8:06,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.3,5.2,일본 오키나와현 오키나와 서북서쪽 152km 해역,2022-03-24 3:25,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.43,121.52,6.6,대만 화롄 남쪽 58km 해역,2022-03-23 2:53,31
2.02E+11,3,국외지진,2.02E+11,2.02E+13,10.82,-43.39,6.7,북대서양 중앙 해령 남쪽 해역,2022-03-23 2:04,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,25.6,124,5.9,일본 오키나와현 미야코지마시 북서쪽 158km 해역,2022-03-19 4:21,180
2.02E+11,3,국외지진,2.02E+11,2.02E+13,40,142.1,5.5,일본 이와테현(혼슈) 모리오카 동북동쪽 87km 해역,2022-03-18 23:35,20
